MANC DN name,side,FAFB DN name,source
DNxl067,RHS,DNde004,BANC v514
DNxl067,RHS,DNg64,BANC v514
DNxl067,RHS,DNfl021,BANC v514
DNxl067,RHS,DNde003,BANC v514
DNxl068,LHS,DNge082,BANC v514
DNxl068,RHS,DNge082,BANC v514
DNxl069,LHS,DNg72,Stuerner et al.
DNxl069,RHS,DNg72,Stuerner et al.
DNxl070,LHS,DNge052,BANC v514
DNxl070,RHS,DNge052,BANC v514
DNxl071,LHS,LN-DN2,BANC v514
DNxl071,RHS,LN-DN2,BANC v514
DNxl072,LHS,DNge034,BANC v514
DNxl072,RHS,DNge034,BANC v514
DNxl073,LHS,DNge042,BANC v514
DNxl073,RHS,DNge042,BANC v514
DNxl075,LHS,DNpe003,BANC v514
DNxl075,RHS,DNpe003,BANC v514
DNxl076,LHS,DNpe052,BANC v514
DNxl078,LHS,DNge080,BANC v514
DNxl078,RHS,DNge080,BANC v514
DNxl079,LHS,DNge062,BANC v514
DNxl079,RHS,DNge062,BANC v514
DNxl080,RHS,DNge079,BANC v514
DNxl081,LHS,DNge144,BANC v514
DNxl081,RHS,DNge144,BANC v514
DNxl082,RHS,DNbe007,BANC v514
DNxl083,LHS,DNpe007,BANC v514
DNxl083,RHS,DNpe007,BANC v514
DNxl084,LHS,DNge120,BANC v514
DNxl084,RHS,DNge120,BANC v514
DNxl086,LHS,DNge055,BANC v514
DNxl086,RHS,DNge055,BANC v514
DNxl087,LHS,DNge081,BANC v514
DNxl087,RHS,DNge081,BANC v514
DNxl088,LHS,DNpe030,BANC v514
DNxl088,LHS,DNpe049,BANC v514
DNxl088,RHS,DNpe030,BANC v514
DNxl088,RHS,DNpe049,BANC v514
DNxl091,LHS,DNg107,BANC v514
DNxl091,LHS,DNge058,BANC v514
DNxl091,RHS,DNge058,BANC v514
DNxl092,LHS,DNae005,BANC v514
DNxl092,RHS,DNae005,BANC v514
DNxl093,LHS,DNge128,BANC v514
DNxl093,LHS,DNge0128,BANC v514
DNxl093,RHS,DNge128,BANC v514
DNxl094,LHS,DNde007,BANC v514
DNxl094,RHS,DNde007,BANC v514
DNxl095,LHS,DNg19,BANC v514
DNxl095,LHS,DNbe003,BANC v514
DNxl095,RHS,DNg19,BANC v514
DNxl095,RHS,DNbe003,BANC v514
DNxl096,RHS,DNde001,BANC v514
DNxl097,LHS,DNge106,BANC v514
DNxl097,RHS,DNg96,BANC v514
DNxl097,RHS,DNge106,BANC v514
DNxl098,RHS,DNde005,BANC v514
DNxl098,RHS,VES028,BANC v514
DNxl099,LHS,DNge038,BANC v514
DNxl099,RHS,DNge038,BANC v514
DNxl100,LHS,DNge064,BANC v514
DNxl100,RHS,DNge064,BANC v514
DNxl101,LHS,DNge075,BANC v514
DNxl101,RHS,DNge075,BANC v514
DNxl101,RHS,DNg104,BANC v514
DNxl102,LHS,DNpe006,BANC v514
DNxl102,RHS,DNpe006,BANC v514
DNxl103,LHS,DNg101,BANC v514
DNxl103,RHS,DNg101,BANC v514
DNxl104,LHS,DNge067,BANC v514
DNxl104,RHS,DNge067,BANC v514
DNxl105,LHS,DNpe022,BANC v514
DNxl105,RHS,DNpe022,BANC v514
DNxl106,LHS,DNbe002,BANC v514
DNxl106,RHS,DNbe002,BANC v514
DNxl107,LHS,DNge060,BANC v514
DNxl107,RHS,DNge060,BANC v514
DNxl108,LHS,DNge032,BANC v514
DNxl108,RHS,DNge032,BANC v514
DNxl109,LHS,DNge003,BANC v514
DNxl109,RHS,DNge003,BANC v514
DNxl110,LHS,DNge074,BANC v514
DNxl110,RHS,DNge074,BANC v514
DNxl111,LHS,DNge040,BANC v514
DNxl111,RHS,DNge040,BANC v514
DNxl112,LHS,DNge083,BANC v514
DNxl112,RHS,DNge083,BANC v514
DNxl113,LHS,DNpe002,BANC v514
DNxl113,LHS,DNge041,BANC v514
DNxl113,RHS,DNpe002,BANC v514
DNxl113,RHS,DNge041,BANC v514
DNxl114,LHS,synapseless descending,BANC v514
DNxl114,LHS,XD,BANC v514
DNxl114,LHS,DNge153,BANC v514
DNxl114,RHS,synapseless descending,BANC v514
DNxl114,RHS,XD,BANC v514
DNxl114,RHS,DNge153,BANC v514
DNxl115,LHS,DNge131,BANC v514
DNxl115,RHS,DNge131,BANC v514
DNxl116,LHS,DNge055,BANC v514
DNxl117,LHS,DNde002,BANC v514
DNxl117,LHS,DNbe007,BANC v514
DNxl117,RHS,DNde002,BANC v514
DNxl118,LHS,DNge153,BANC v514
DNxl118,RHS,DNge153,BANC v514
DNxl119,LHS,DNge048,BANC v514
DNxl119,RHS,DNge048,BANC v514
DNxl120,LHS,DNge129,BANC v514
DNxl120,RHS,DNge129,BANC v514
DNxl121,LHS,DNpe025,BANC v514
DNxl121,RHS,DNpe025,BANC v514
DNxl123,LHS,DNge103,BANC v514
DNxl123,RHS,DNge103,BANC v514
DNxl124,LHS,DNge023,BANC v514
DNxl124,RHS,DNge023,BANC v514
DNxl125,LHS,DNge121,BANC v514
DNxl125,RHS,DNge121,BANC v514
DNxl127,LHS,DNge063,BANC v514
DNxl127,RHS,DNge063,BANC v514
DNxl129,LHS,DNge073,BANC v514
DNxl129,RHS,DNge073,BANC v514
DNxl130,LHS,DNge049,BANC v514
DNxl130,RHS,DNge049,BANC v514
DNxl131,LHS,DNge054,BANC v514
DNxl131,RHS,DNge054,BANC v514
DNxl132,LHS,DNge104,BANC v514
DNxl132,RHS,DNge104,BANC v514
DNxl134,LHS,DNge035,BANC v514
DNxl134,RHS,DNge035,BANC v514
DNxn001,LHS,DNa06,Stuerner et al.
DNxn001,RHS,DNa06,Stuerner et al.
DNxn002,LHS,DNa09,Stuerner et al.
DNxn002,RHS,DNa09,Stuerner et al.
DNxn003,LHS,DNa10,Stuerner et al.
DNxn003,RHS,DNa10,Stuerner et al.
DNxn004,LHS,aSP22,Stuerner et al.
DNxn004,RHS,aSP22,Stuerner et al.
DNxn005,LHS,DNb01,Stuerner et al.
DNxn005,RHS,DNb01,Stuerner et al.
DNxn006,LHS,DNxn009,Stuerner et al.
DNxn006,LHS,DNb07,BANC v514
DNxn006,RHS,DNxn009,Stuerner et al.
DNxn006,RHS,DNb07,BANC v514
DNxn006,RHS,DNbe005,BANC v514
DNxn007,LHS,DNxn010,Stuerner et al.
DNxn007,LHS,DNbe005,BANC v514
DNxn007,RHS,DNxn010,Stuerner et al.
DNxn008,LHS,DNb09,Stuerner et al.
DNxn008,RHS,DNb09,Stuerner et al.
DNxn009,LHS,DNb05,Stuerner et al.
DNxn009,RHS,DNb05,Stuerner et al.
DNxn010,LHS,DNc01,Stuerner et al.
DNxn010,RHS,DNc01,Stuerner et al.
DNxn011,LHS,DNc02,Stuerner et al.
DNxn011,RHS,DNc02,Stuerner et al.
DNxn012,LHS,DNd03,Stuerner et al.
DNxn012,RHS,DNd03,Stuerner et al.
