FAFB DN name,MANC DN name,source
DNg38,DNxl013,Stuerner et al.
DNg39,DNxl016,Stuerner et al.
DNg40,DNlt001,Stuerner et al.
DNg41,DNut020,Stuerner et al.
DNg42,DNxn052,Stuerner et al.
DNg43,DNxl028,Stuerner et al.
DNg44,DNxl029,Stuerner et al.
DNg45,DNxl030,Stuerner et al.
DNg46,DNxn053,Stuerner et al.
DNg47,DNfl004,Stuerner et al.
DNg48,DNfl005,Stuerner et al.
DNg49,DNnt003,Stuerner et al.
DNg50,DNxn054,Stuerner et al.
DNg51,DNxn055,Stuerner et al.
DNg51,DNut042,BANC v514
DNg52_a,,
DNg52_b,,
DNg53,DNnt004,Stuerner et al.
DNg54,DNxl032,Stuerner et al.
DNg55,DNxn056,Stuerner et al.
DNg56,DNxn057,Stuerner et al.
DNg57,DNxn058,Stuerner et al.
DNg58,DNxn145,BANC v514
DNg59,DNxn059,Stuerner et al.
DNg60,DNxn060,Stuerner et al.
DNg61,DNfl007,Stuerner et al.
DNg61,DNfl017,BANC v514
DNg62,DNfl008,Stuerner et al.
DNg63,DNxl033,Stuerner et al.
DNg64,DNxl034,Stuerner et al.
DNg64,DNxl067,BANC v514
DNg65,DNxl035,Stuerner et al.
DNg66,DNad002,Stuerner et al.
DNg67,DNxl036,Stuerner et al.
DNg68,DNxn061,Stuerner et al.
DNg69,DNxl037,Stuerner et al.
DNg70,DNxl038,Stuerner et al.
DNg70,DNxn180,BANC v514
DNg71,DNxn062,Stuerner et al.
DNg72,DNxl039,Stuerner et al.
DNg72,DNxl069,Stuerner et al.
DNg73,DNnt005,Stuerner et al.
DNg74_a,,
DNg74_b,,
DNg75,DNxl042,Stuerner et al.
DNg76,DNxn063,Stuerner et al.
DNg77,DNit002,Stuerner et al.
DNg78,DNxn064,Stuerner et al.
DNg79,DNxn065,Stuerner et al.
DNg80,DNxn066,Stuerner et al.
DNg81,DNxn067,Stuerner et al.
DNg82,DNut030,Stuerner et al.
DNg83,DNfl009,Stuerner et al.
DNg84,DNxn068,Stuerner et al.
DNg85,DNfl010,Stuerner et al.
DNg86,,
DNg87,DNxl043,Stuerner et al.
DNg88,DNxl044,Stuerner et al.
DNg89,DNnt006,Stuerner et al.
DNg89,DNxn146,BANC v514
DNg90,DNxl045,Stuerner et al.
DNg91,DNut031,Stuerner et al.
DNg92_a,,
DNg92_b,,
DNg93,DNxl046,Stuerner et al.
DNg94,DNxn069,Stuerner et al.
DNg95,DNxl059,Stuerner et al.
DNg96,DNxl064,Stuerner et al.
DNg96,DNxl097,BANC v514
DNg97,DNxl054,Stuerner et al.
DNg98,DNxn096,Stuerner et al.
DNg99,DNxn097,Stuerner et al.
DNge001,DNfl024,BANC v514
DNge002,DNnt019,BANC v514
DNge003,DNxl109,BANC v514
DNge004,,
DNge005,DNad004,BANC v514
DNge006,DNxn150,BANC v514
DNge007,,
DNge008,,
DNge009,DNfl014,BANC v514
DNge010,DNml001,BANC v514
DNge011,DNfl036,BANC v514
DNge012,DNfl030,BANC v514
DNge012,DNfl036,BANC v514
DNge012,DNxn148,BANC v514
DNge013,DNxn071,BANC v514
DNge014,,
DNge015,,
DNge016,DNut058,BANC v514
DNge017,DNut047,BANC v514
DNge018,,
DNge019,DNfl028,BANC v514
DNge019,DNnt008,BANC v514
DNge020,DNnt008,BANC v514
DNge020,DNnt007,BANC v514
DNge020,DNnt013,BANC v514
DNge021,,
DNge022,DNfl040,BANC v514
DNge023,DNxl124,BANC v514
DNge024,DNfl031,BANC v514
DNge024,DNfl014,BANC v514
DNge025,DNfl024,BANC v514
DNge025,DNfl019,BANC v514
DNge026,DNxn148,BANC v514
DNge027,DNfl022,BANC v514
DNge028,,
DNge029,DNxn139,BANC v514
DNge030,DNut051,BANC v514
DNge031,,
DNge032,DNxl108,BANC v514
DNge033,DNnt018,BANC v514
DNge033,DNxn146,BANC v514
DNge034,DNxl072,BANC v514
DNge035,DNxl134,BANC v514
DNge036,DNfl042,BANC v514
DNge037,DNxl014,BANC v514
DNge038,DNxl099,BANC v514
DNge039,DNfl015,BANC v514
DNge040,DNxl111,BANC v514
